	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD
H4-A-B_ASD	0.0	1.599	3.099	1.964	3.220	4.884	4.804	5.366	6.511
H4-A-M_ASD	1.599	0.0	1.5	2.195	2.147	3.466	5.0	4.866	5.556
H4-A-T_ASD	3.099	1.5	0.0	3.220	1.964	2.360	5.608	4.850	4.972
H4-B-B_ASD	1.964	2.195	3.220	0.0	2.099	4.0	2.915	3.466	4.860
H4-B-M_ASD	3.220	2.147	1.964	2.099	0.0	1.900	3.764	2.906	3.413
H4-B-T_ASD	4.884	3.466	2.360	4.0	1.900	0.0	5.186	3.580	2.901
H4-C-B_ASD	4.804	5.0	5.608	2.915	3.764	5.186	0.0	2.199	4.199
H4-C-M_ASD	5.366	4.866	4.850	3.466	2.906	3.580	2.199	0.0	1.999
H4-C-T_ASD	6.511	5.556	4.972	4.860	3.413	2.901	4.199	1.999	0.0
