	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-B-T_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD
H6-A-B_ASD	0.0	1.899	4.399	2.927	3.264	5.021	3.067	3.466	5.186
H6-A-M_ASD	1.899	0.0	2.5	3.701	2.927	3.640	4.101	2.9	3.764
H6-A-T_ASD	4.399	2.5	0.0	5.608	4.101	2.915	6.129	3.828	2.901
H6-B-B_ASD	2.927	3.701	5.608	0.0	1.899	4.5	0.600	2.299	4.699
H6-B-M_ASD	3.264	2.927	4.101	1.899	0.0	2.600	2.5	0.399	2.8
H6-B-T_ASD	5.021	3.640	2.915	4.5	2.600	0.0	5.100	2.200	0.199
H6-C-B_ASD	3.067	4.101	6.129	0.600	2.5	5.100	0.0	2.899	5.3
H6-C-M_ASD	3.466	2.9	3.828	2.299	0.399	2.200	2.899	0.0	2.400
H6-C-T_ASD	5.186	3.764	2.901	4.699	2.8	0.199	5.3	2.400	0.0
