	H7-A-B_ASD	H7-A-M_ASD	H7-A-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-B_ASD	H7-C-M_ASD	H7-C-T_ASD
H7-A-B_ASD	0.0	2.5	5.300	5.803	6.576	8.132	2.4	3.612	6.184
H7-A-M_ASD	2.5	0.0	2.800	6.239	5.830	6.624	3.465	2.408	4.000
H7-A-T_ASD	5.300	2.800	0.0	7.723	6.203	5.813	5.818	3.538	2.433
H7-B-B_ASD	5.803	6.239	7.723	0.0	2.900	5.5	3.405	4.220	6.466
H7-B-M_ASD	6.576	5.830	6.203	2.900	0.0	2.599	4.601	3.423	4.280
H7-B-T_ASD	8.132	6.624	5.813	5.5	2.599	0.0	6.637	4.534	3.4
H7-C-B_ASD	2.4	3.465	5.818	3.405	4.601	6.637	0.0	2.699	5.699
H7-C-M_ASD	3.612	2.408	3.538	4.220	3.423	4.534	2.699	0.0	3.0
H7-C-T_ASD	6.184	4.000	2.433	6.466	4.280	3.4	5.699	3.0	0.0
