	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD
H3-A-B_ASD	0.0	2.599	5.2	5.200	5.385	6.105	8.900	9.080	9.527
H3-A-M_ASD	2.599	0.0	2.600	5.859	5.336	5.234	9.300	8.935	8.935
H3-A-T_ASD	5.2	2.600	0.0	7.424	6.440	5.571	10.35	9.527	9.080
H3-B-B_ASD	5.200	5.859	7.424	0.0	1.500	3.3	3.7	4.159	5.093
H3-B-M_ASD	5.385	5.336	6.440	1.500	0.0	1.799	3.992	3.721	4.205
H3-B-T_ASD	6.105	5.234	5.571	3.3	1.799	0.0	4.957	3.956	3.705
H3-C-B_ASD	8.900	9.300	10.35	3.7	3.992	4.957	0.0	1.900	3.5
H3-C-M_ASD	9.080	8.935	9.527	4.159	3.721	3.956	1.900	0.0	1.599
H3-C-T_ASD	9.527	8.935	9.080	5.093	4.205	3.705	3.5	1.599	0.0
