# Constructed from biom file
#OTU ID	Feb10-r1-a_SPA	Feb10-r2-a_SPA	Feb10-r3-a_SPA	Feb10-r4-a_SPA	Feb10-r5-a_SPA	Feb10-r6-a_SPA	Feb10-r7-a_SPA	Feb7-1_SPA	Feb7-12_SPA	Feb7-15_SPA	Feb7-20_SPA	Feb7-3_SPA	Feb7-6_SPA	Feb7-9_SPA	Feb8-12_SPA	Feb8-15_SPA	Feb8-19_SPA	Feb8-2_SPA	Feb8-23_SPA	Feb8-27_SPA	Feb8-32_SPA	Feb8-33_SPA	Feb8-35_SPA	Feb8-37_SPA	Feb8-39_SPA	Feb8-41_SPA	Feb8-43_SPA	Feb8-45_SPA	Feb8-47_SPA	Feb8-49_SPA	Feb8-5_SPA	Feb8-51_SPA	Feb8-53_SPA	Feb8-55_SPA	Feb8-61_SPA	Feb8-65_SPA	Feb8-7_SPA	Feb8-9_SPA	Feb9-1-a_SPA	Feb9-1-b_SPA	Feb9-2-a_SPA	Feb9-2-b_SPA	Feb9-3-a_SPA	Feb9-3-b_SPA	Feb9-4-11_SPA	Feb9-4-14_SPA	Feb9-4-17_SPA	Feb9-4-2_SPA	Feb9-4-20_SPA	Feb9-4-22_SPA	Feb9-4-24_SPA	Feb9-4-26_SPA	Feb9-4-28_SPA	Feb9-4-30-a_SPA	Feb9-4-4_SPA	Feb9-4-6_SPA	Feb9-4-8_SPA	Feb9-4-a_SPA	Feb9-4-b_SPA	Feb9-5-a_SPA	Feb9-5-b_SPA	Feb9-6-a_SPA	Feb9-6-b_SPA	Feb9-7-a_SPA	Feb9-7-b_SPA	Feb9-8-a_SPA	Feb9-8-b_SPA	SG1-E-mid_SPA
bdb9bd78f437e0a8a27bd0481047ca19	163.0	334.0	0.0	0.0	338.0	474.0	0.0	0.0	0.0	0.0	0.0	468.0	284.0	0.0	0.0	271.0	0.0	0.0	294.0	321.0	0.0	0.0	0.0	541.0	307.0	339.0	0.0	0.0	0.0	0.0	425.0	371.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	481.0	0.0	261.0	0.0	237.0	0.0	0.0	184.0	0.0	0.0	0.0	467.0	195.0	0.0
59ecffd3f7098382827153f41320bb85	184.0	214.0	0.0	0.0	0.0	222.0	0.0	0.0	243.0	98.0	323.0	176.0	0.0	0.0	281.0	0.0	205.0	101.0	356.0	277.0	0.0	201.0	350.0	0.0	0.0	146.0	0.0	0.0	342.0	125.0	198.0	278.0	463.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.0	156.0	0.0	26.0	0.0	0.0	379.0	0.0	0.0	417.0	0.0	0.0	301.0	0.0	373.0	0.0	0.0	0.0	0.0	262.0
e1061af8144d709ec52d4c5224162225	0.0	194.0	268.0	350.0	0.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0	294.0	268.0	0.0	0.0	351.0	0.0	342.0	0.0	0.0	130.0	157.0	262.0	124.0	288.0	223.0	0.0	0.0	268.0	289.0	0.0	295.0	0.0	0.0	399.0	0.0	49.0	0.0	125.0	0.0	0.0	349.0	0.0	0.0	0.0	203.0	0.0	0.0	351.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
186ac4746599d15b963538f00f5a1db2	0.0	0.0	0.0	443.0	0.0	0.0	0.0	363.0	0.0	0.0	366.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	335.0	411.0	0.0	0.0	0.0	0.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	182.0	381.0	0.0	0.0	491.0	0.0	446.0	0.0	308.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	472.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0
226c358f393dc9b5b2bbaa2bad68543c	0.0	285.0	462.0	855.0	0.0	0.0	494.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	356.0	476.0	0.0	0.0	480.0	0.0	0.0	526.0	0.0	0.0	0.0	581.0	0.0	320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0
cc25e1293149168452de72f90a08dfea	0.0	0.0	505.0	0.0	432.0	402.0	0.0	329.0	496.0	0.0	419.0	0.0	553.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	392.0
83a44babbfc85d95f45ce8458a8e644d	0.0	0.0	0.0	307.0	285.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	287.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.0	0.0	349.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	551.0	0.0	88.0	0.0	0.0	0.0	199.0	416.0	0.0
1eab66e1f56b8afa7dc98dfef2bb5523	0.0	0.0	0.0	0.0	0.0	650.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.0	304.0	542.0	0.0	0.0	0.0	0.0	0.0	0.0	675.0	307.0	0.0	0.0	0.0	0.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	445.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0
682c680814253e6f601c60402603e6af	0.0	0.0	447.0	419.0	0.0	0.0	0.0	608.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
865a037dc5531c705590433baaac6ce3	349.0	0.0	273.0	0.0	0.0	0.0	419.0	322.0	0.0	0.0	0.0	0.0	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.0	0.0	378.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
