index,D_0__Archaea,D_0__Bacteria,Unassigned,EW,NS,Altitude,Location,Transect
Feb9-4-b_SPA,1550.0,2264.0,0.0,-70.010648,-21.152824,683.28,SG2,SG2-flat
Feb9-5-a_SPA,1876.0,2308.0,0.0,-70.012644,-21.152814000000003,655.83,SG2,SG2-flat
Feb9-5-b_SPA,1509.0,2795.0,37.0,-70.012644,-21.152814000000003,655.83,SG2,SG2-flat
Feb9-6-a_SPA,749.0,809.0,0.0,-70.014783,-21.152872,653.19,SG2,SG2-flat
Feb9-6-b_SPA,1593.0,1248.0,0.0,-70.014783,-21.152872,653.19,SG2,SG2-flat
Feb9-7-a_SPA,1341.0,3986.0,59.0,-70.016803,-21.152824,650.08,SG2,SG2-flat
Feb9-7-b_SPA,1893.0,1426.0,32.0,-70.016803,-21.152824,650.08,SG2,SG2-flat
Feb9-8-a_SPA,2113.0,1432.0,0.0,-70.018939,-21.152762,650.34,SG2,SG2-flat
Feb9-8-b_SPA,2630.0,1655.0,0.0,-70.018939,-21.152762,650.34,SG2,SG2-flat
SG1-E-mid_SPA,1581.0,706.0,0.0,-70.008927,-20.956373000000003,646.0,SG1,SG1_hill
