H2-A-top	181.53333333333333
H2-A-bot	245.06666666666666
H2-A-mid	434.6666666666667
H2-C-top	499.4
H2-C-bot	160.2
H2-C-mid	191.33333333333334
H2-B-top	141.46666666666667
H2-B-bot	192.73333333333332
H2-B-mid	91.33333333333333
H3-A-top	387.26666666666665
H3-A-bot	520.2666666666667
H3-A-mid	237.26666666666668
H3-C-top	191.26666666666668
H3-C-bot	409.6666666666667
H3-C-mid	303.06666666666666
H3-B-top	249.4
H3-B-bot	343.46666666666664
H3-B-mid	355.0
H6-A-top	859.4
H6-A-bot	820.5333333333333
H6-A-mid	592.8666666666667
H6-C-top	648.1333333333333
H6-C-bot	1016.9333333333333
H6-C-mid	296.26666666666665
H4-A-top	166.6
H4-A-bot	506.46666666666664
H4-A-mid	765.6
H4-C-top	140.13333333333333
H4-C-bot	208.33333333333334
H4-C-mid	473.2
H4-B-top	78.13333333333334
H4-B-bot	466.46666666666664
H4-B-mid	182.86666666666667
H5-B-top	424.3333333333333
H5-B-bot	228.86666666666667
H5-B-mid	110.0
