	H2-A	H2-B	H2-C	H3-A	H3-B	H3-C	H4-A	H4-B	H4-C	H5-B	H6-A	H6-C
Bottom	1.8796431834975367	1.3905786206896549	1.04600881773399	3.8374155665024627	2.2300132758620688	3.191486951970443	3.686608041871921	3.085194901477832	1.4349931527093593	1.4819110492610836	6.119514975369457	7.5155995297805624
Middle	3.1827049876847284	0.5389377339901478	0.9006055788177338	1.9841182758620688	2.4528934729064034	2.002691625615763	5.205948428571428	1.3692596453201968	3.296481175228712	0.5299461206896551	4.802422216748768	2.0369752395879983
Top	1.2507279041648005	0.8654777216748769	3.569827187639946	2.8352622167487684	1.7507400985221673	1.178049579041648	1.183995987460815	0.4785588177339902	0.9448182266009852	3.029878620689655	5.906104984326018	4.176360846394984
