Feature ID	Taxon	Confidence
68f81dc0d7e9ff5180143dc776a2b524	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae;D_5__Salinibacter;Ambiguous_taxa;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9206608966688877
ad3b7ab76391263756a5976abe2c3791	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halobaculum;Ambiguous_taxa;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9839986677899062
905497c3766d08ff7632e45056f05ad0	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halomicrobium	0.7119775699473174
a825500e1cb5e8620d6e33cf704eff78	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae	0.9999999999052238
a115027de3d3649bbdbd440d6ed784db	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halomicrobium	0.8103706059444983
68a308a0fb279410286e8d7202a54f29	D_0__Bacteria	0.9999727233163189
db190eaa505eca411df53855ca0441bc	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured	0.9775157060693859
f5eb639774a60c5c9839f9500914922e	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halovenus	0.9873461542977122
c1480fda320ac484c7bfc410d250b2b4	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halostella;D_6__Halobacteriaceae archaeon YPL18;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.7865840948882438
e2a56373a2fd67a9576806a65597d59d	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae	0.9999999999968342
a4acc30d4b3feb59fababa5c62fb17b7	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;Ambiguous_taxa;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.7127390382895159
7892ca11f11331b7ef5224289c5c2a80	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured	0.9845023491472901
8bd412807bb651e87d92ad5cdaeb3d3f	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured;D_6__uncultured archaeon;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.8462470538949998
dd41c5e0def3b206388bc38b6f5b139a	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured	0.9055780492716745
c0cc1e9d7d0ec5ff84f921b9dc20a23d	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae	0.9999999389147388
2ce19b9b7676ff40d6193b4e1a7c9d6a	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halovenus;D_6__uncultured archaeon;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9996600731005886
d759473bf061a088af2265e6ced9f261	D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured;D_6__uncultured haloarchaeon;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9097918970791289
