	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD
H2-A-B_ASD	0.0	2.099	5.0	2.353	3.623	6.053	2.5	2.683	4.161
H2-A-M_ASD	2.099	0.0	2.900	2.801	2.404	4.188	3.687	2.563	2.729
H2-A-T_ASD	5.0	2.900	0.0	5.053	3.182	2.376	6.184	4.494	2.884
H2-B-B_ASD	2.353	2.801	5.053	0.0	2.3	5.1	4.850	4.751	5.522
H2-B-M_ASD	3.623	2.404	3.182	2.3	0.0	2.8	5.860	4.964	4.738
H2-B-T_ASD	6.053	4.188	2.376	5.1	2.8	0.0	7.860	6.438	5.189
H2-C-B_ASD	2.5	3.687	6.184	4.850	5.860	7.860	0.0	1.899	4.1
H2-C-M_ASD	2.683	2.563	4.494	4.751	4.964	6.438	1.899	0.0	2.2
H2-C-T_ASD	4.161	2.729	2.884	5.522	4.738	5.189	4.1	2.2	0.0
